Rank,Name,Region,Status,Latitude,Longitude
951-1000,Wuhan University of Technology,China (Mainland),Public,30.5881,114.43
1001-1200,Adamson University,Philippines,Private for Profit,14.5865,120.986
1001-1200,Aga Khan University,Pakistan,Private not for Profit,24.8928,67.0747
1001-1200,Al Azhar University,Egypt,Public,42.3128812,-71.0369778
1001-1200,Alexandru Ioan Cuza University,Romania,Public,47.1745213,27.5723523
1001-1200,"Aligarh Muslim University (AMU), Aligarh",India,Public,42.3128812,-71.0369778
1001-1200,Almaty Technological University,Kazakhstan,Public,43.2530197,76.9318089
1001-1200,Amrita Vishwa Vidyapeetham,India,Private not for Profit,9.0949384,76.4895637
1001-1200,An-Najah National University,Palestine,Public,32.2165287,35.2970727
1001-1200,"Arab Academy for Science, Technology and Maritime Transport",Egypt,Public,42.3128812,-71.0369778
1001-1200,Asfendiyarov Kazakh National Medical University,Kazakhstan,Public,43.2404144,76.8348352
1001-1200,Assiut University,Egypt,Public,27.1783117,31.1859257
1001-1200,Azerbaijan University of Architecture and Construction,Azerbaijan,Public,42.3128812,-71.0369778
1001-1200,Banaras Hindu University,India,Public,25.2685,82.9905
1001-1200,Baylor University,United States of America,Private not for Profit,31.5509823,-97.1161038
1001-1200,Beijing University of Posts and Telecommunications,China (Mainland),Public,40.1062,116.373
1001-1200,Binghamton University SUNY,United States of America,Public,42.089620531893,-75.96942519469
1001-1200,Birmingham City University,United Kingdom,Public,52.4811618,-1.9037081
1001-1200,Brigham Young University,United States of America,Private not for Profit,40.2524308,-111.6502622
1001-1200,CEU University,Spain,,42.3128812,-71.0369778
1001-1200,Chung Yuan Christian University,Taiwan,Public,24.9574977,121.240539
1001-1200,Chungbuk National University,Republic of Korea,Public,36.6290404,127.4563391
1001-1200,Clark University,United States of America,Private not for Profit,42.2515499,-71.8234017
1001-1200,Cracow University of Technology of Tadeusz Kościuszko,Poland,Public,42.3128812,-71.0369778
1001-1200,D. Serikbayev East Kazakhstan Technical University,Kazakhstan,Public,49.9522433,82.6139365
1001-1200,Daffodil International University,Bangladesh,Private not for Profit,23.7529993,90.3774887
1001-1200,Dankook University,Republic of Korea,Private not for Profit,37.5665,126.978
1001-1200,Ege Üniversitesi,Türkiye,Public,42.3128812,-71.0369778
1001-1200,Financial University under the Government of the Russian Federation,Russian Federation,Public,55.8009332,37.5266524
1001-1200,Florida Atlantic University - Boca Raton,United States of America,Public,26.3718,-80.1013
1001-1200,Fordham University,United States of America,Private not for Profit,40.861203,-73.889218
1001-1200,Gebze Technical University,Türkiye,Public,42.3128812,-71.0369778
1001-1200,Georgian Technical University,Georgia,Public,41.7248831,44.7777273
1001-1200,German University of Technology in Oman  (GUTECH),Oman,Private for Profit,42.3128812,-71.0369778
1001-1200,Gifu University,Japan,Public,35.4644,136.739
1001-1200,Glasgow Caledonian University,United Kingdom,Public,55.8668183,-4.2499602
1001-1200,Hallym University,Republic of Korea,Private not for Profit,37.886122248762,127.73827012806
1001-1200,Harbin Engineering University,China (Mainland),Public,45.776,126.682
1001-1200,Hohai University,China (Mainland),Public,32.0597,118.752
1001-1200,Howard University,United States of America,Private not for Profit,38.922598694961,-77.019535663477
1001-1200,Islamic University of Lebanon,Lebanon,Private for Profit,33.7816,35.4751
1001-1200,IU Indianapolis,United States of America,Public,42.3128812,-71.0369778
1001-1200,Kalinga Institute of Industrial Technology,India,Private not for Profit,42.3128812,-71.0369778
1001-1200,Kangwon National University,Republic of Korea,Public,37.8694561,127.7444707
1001-1200,Kazakh-British Technical University,Kazakhstan,Public,43.2556654,76.9431085
1001-1200,Kent State University,United States of America,Public,41.15375,-81.35127
1001-1200,Kookmin University,Republic of Korea,Private for Profit,37.5665,126.978
1001-1200,Kyrgyz Russian Slavic University,Kyrgyzstan,Public,42.873636789351,74.614291180296
1001-1200,Kyushu Institute of Technology,Japan,Public,33.6538448,130.6719775
1001-1200,Leeds Beckett University,United Kingdom,Public,53.8035259,-1.5485743
1001-1200,Lobachevsky State University of Nizhni Novgorod,Russian Federation,Public,42.3128812,-71.0369778
1001-1200,Lodz University of Technology,Poland,Public,51.7537146,19.4517176
1001-1200,London Metropolitan University,United Kingdom,Public,51.5516174,-0.1107146
1001-1200,Loyola University Chicago,United States of America,Private not for Profit,41.8600176,-87.8333511
1001-1200,Makerere University,Uganda,Public,0.3398836,32.5681424
1001-1200,Mansoura University,Egypt,Public,31.041083574735,31.358921355312
1001-1200,Marmara University,Türkiye,Public,40.9867788,29.0521467
1001-1200,MATE Hungarian University of Agriculture and Life Sciences,Hungary,Private not for Profit,47.5957789,19.3637202
1001-1200,Middle East University Jordan,Jordan,Private not for Profit,31.809286415048,35.919698694006
1001-1200,Mississippi State University,United States of America,Public,33.4537,-88.79
1001-1200,Mustansiriyah University,Iraq,Public,33.3667833,44.4033336
1001-1200,Mutah University,Jordan,Public,40.4762605,-88.9554061
1001-1200,Mykolas Romeris University,Lithuania,Public,54.7339697,25.2588936
1001-1200,Narxoz University,Kazakhstan,Private not for Profit,43.2146,76.871
1001-1200,National Research Saratov State University,Russian Federation,Public,51.5333,46.0345
1001-1200,"National Technical University ""Kharkiv Polytechnic Institute""",Ukraine,Public,49.9993605,36.2488268
1001-1200,National University Lviv Polytechnic,Ukraine,Public,42.3128812,-71.0369778
1001-1200,Nicolaus Copernicus University,Poland,Public,53.018498,18.5708292
1001-1200,Niigata University,Japan,Public,37.867,138.943
1001-1200,Northern Arizona University,United States of America,Public,35.1811794,-111.6519735
1001-1200,Northern Borders University,Saudi Arabia,Public,30.9170513,41.0807669
1001-1200,Northwest University (China),China (Mainland),Public,34.246,108.926
1001-1200,Notre Dame University-Louaize (NDU),Lebanon,Private not for Profit,42.3128812,-71.0369778
1001-1200,Obuda University,Hungary,Public,47.5339745,19.0346173
1001-1200,Ohio University,United States of America,Public,40.0754942,-80.9761919
1001-1200,Pavol Josef Safarik University,Slovakia,Public,42.3128812,-71.0369778
1001-1200,Pontificia Universidad Catolica del Ecuador,Ecuador,Private not for Profit,42.3128812,-71.0369778
1001-1200,Pontificia Universidade Católica de São Paulo (PUC -SP),Brazil,Private not for Profit,42.3128812,-71.0369778
1001-1200,Poznan University of Life Sciences,Poland,Public,52.432601,16.9004381
1001-1200,Poznan University of Technology,Poland,Public,52.3942155,16.9181014
1001-1200,Rhodes University,South Africa,Public,-33.3178,26.5198
1001-1200,Riga Stradins University,Latvia,Public,56.9542703,24.0550532
1001-1200,Ritsumeikan Asia Pacific University,Japan,Private for Profit,33.33617347312,131.46879336885
1001-1200,Saint-Petersburg Mining University,Russian Federation,Public,59.9291997,30.2694844
1001-1200,Samarkand State University,Uzbekistan,Public,39.644742421631,66.961008731385
1001-1200,San Diego State University,United States of America,Public,32.9797105,-115.4875216
1001-1200,Sebelas Maret University,Indonesia,Public,42.3128812,-71.0369778
1001-1200,Seoul National University of Science and Technology,Republic of Korea,Public,37.6316684,127.0774813
1001-1200,Sheffield Hallam University,United Kingdom,Public,53.3784445,-1.4663393
1001-1200,Siberian Federal University,Russian Federation,Public,42.3128812,-71.0369778
1001-1200,Silesian University of Technology in Gliwice,Poland,Public,42.3128812,-71.0369778
1001-1200,Slovak University of Technology in Bratislava,Slovakia,Public,48.1511656,17.1107982
1001-1200,Soonchunhyang University,Republic of Korea,Private not for Profit,36.769193,126.9322626
1001-1200,Southern Federal University,Russian Federation,Public,47.22,39.7198
1001-1200,Southern Methodist University,United States of America,Private not for Profit,32.8450068,-96.7859669
1001-1200,Southwest University,China (Mainland),Public,29.6636,106.596
1001-1200,SRM Institute of Science and Technology (f.k.a SRM University),India,Private not for Profit,42.3128812,-71.0369778
1001-1200,Sumgait State University,Azerbaijan,Public,42.3128812,-71.0369778
1001-1200,Sumy State University,Ukraine,Public,50.891815752892,34.843246942139
1001-1200,Sungshin Women's University,Republic of Korea,Private not for Profit,37.591939,127.0220201
1001-1200,Széchenyi István University,Hungary,Private for Profit,42.3128812,-71.0369778
1001-1200,Tashkent State University of Economics,Uzbekistan,Public,41.259418,69.1804708
1001-1200,Technical University of Kosice,Slovakia,Public,48.7297419,21.2433043
1001-1200,Technical University of Ostrava,Czechia,Public,42.3128812,-71.0369778
1001-1200,Telkom University (aka Telkom Institute of Technology),Indonesia,Private for Profit,42.3128812,-71.0369778
1001-1200,The City College of New York,United States of America,Public,40.8204532,-73.948458
1001-1200,"The Federal University of Sao Carlos, UFSCar",Brazil,Public,42.3128812,-71.0369778
1001-1200,The Hashemite University,Jordan,Public,30.585164,36.238414
1001-1200,Tokyo Metropolitan University,Japan,Public,35.6172,139.377
1001-1200,Universidad Andrés Bello - UNAB,Chile,Private not for Profit,42.3128812,-71.0369778
1001-1200,Universidad Argentina de la Empresa -UADE,Argentina,Private not for Profit,42.3128812,-71.0369778
1001-1200,Universidad Austral de Chile,Chile,Private not for Profit,-39.8173788,-73.2425333
1001-1200,Universidad de Castilla-La Mancha,Spain,Public,38.9771146,-1.8540086
1001-1200,Universidad de Guadalajara (UDG),Mexico,Public,20.6748238,-103.3589843
1001-1200,Universidad de las Américas Puebla (UDLAP),Mexico,Private not for Profit,19.0548945,-98.2845204
1001-1200,Universidad de León,Spain,,42.6126155,-5.5602802
1001-1200,Universidad de Puerto Rico,Puerto Rico,Public,18.2013463,-67.1451517
1001-1200,Universidad de San Andrés,Argentina,Private not for Profit,42.3128812,-71.0369778
1001-1200,Universidad de Talca,Chile,Public,-35.42651181834,-71.667014259338
1001-1200,Universidad del Valle,Colombia,Public,3.0229350514988,-76.482615754273
1001-1200,Universidad Diego Portales,Chile,Private not for Profit,42.3128812,-71.0369778
1001-1200,Universidad ICESI,Colombia,Private not for Profit,3.3417289,-76.5308704
1001-1200,Universidad Nacional de Rosario,Argentina,Public,42.3128812,-71.0369778
1001-1200,Universidad ORT Uruguay,Uruguay,Private not for Profit,-34.903741028709,-56.19066771839
1001-1200,Universidad Peruana Cayetano Heredia,Peru,Private not for Profit,42.3128812,-71.0369778
1001-1200,Universidad Pontificia Bolivariana,Colombia,Private not for Profit,6.2444738,-75.5892804
1001-1200,Universidad Rey Juan Carlos,Spain,Public,40.3378038,-3.8690218
1001-1200,Universidad Simón Bolívar Venezuela,Venezuela (Bolivarian Republic of),Public,42.3128812,-71.0369778
1001-1200,Universidad Técnica Federico Santa María,Chile,Private not for Profit,42.3128812,-71.0369778
1001-1200,Universidade da Coruña,Spain,Public,43.3709877,-8.3905698
1001-1200,Universidade Federal do Paraná (UFPR),Brazil,Public,42.3128812,-71.0369778
1001-1200,"Universita' degli Studi di Napoli ""Parthenope""",Italy,Public,42.3128812,-71.0369778
1001-1200,Università degli Studi di Udine,Italy,Public,46.0660001,13.232485
1001-1200,"Universita degli Studi ""G. D'Annunzio"" Chieti-Pescara",Italy,Public,42.3128812,-71.0369778
1001-1200,Universitas Sumatera Utara,Indonesia,Public,3.5630956,98.6573084
1001-1200,Universität Bielefeld,Germany,Public,42.3128812,-71.0369778
1001-1200,Universitat de Lleida,Spain,,42.3128812,-71.0369778
1001-1200,Universitat Jaume I,Spain,Public,39.9945711,-0.0689003
1001-1200,Université de Bretagne Occidentale (UBO),France,,42.3128812,-71.0369778
1001-1200,Université de Sfax,Tunisia,Public,42.3128812,-71.0369778
1001-1200,Université Lumière Lyon 2,France,Public,45.7304,4.83994
1001-1200,Université Paris 2 Panthéon-Assas,France,Public,42.3128812,-71.0369778
1001-1200,Université Sorbonne Paris Nord,France,,42.3128812,-71.0369778
1001-1200,"Université Toulouse 1, Capitole",France,Public,42.3128812,-71.0369778
1001-1200,Universiti Malaysia Perlis (UniMAP),Malaysia,Public,42.3128812,-71.0369778
1001-1200,Universiti Malaysia Sarawak (UNIMAS),Malaysia,Public,1.4656371878027,110.42688514551
1001-1200,Universiti Tun Hussein Onn University of Malaysia (UTHM),Malaysia,Public,42.3128812,-71.0369778
1001-1200,"University of Alabama, Birmingham",United States of America,Public,42.3128812,-71.0369778
1001-1200,University of Anbar,Iraq,Public,33.4019798,43.2606129
1001-1200,University of Arkansas Fayetteville,United States of America,Public,36.0686895,-94.1748471
1001-1200,University of Balamand,Lebanon,Private not for Profit,33.8886,35.4955
1001-1200,University of Central Lancashire,United Kingdom,Public,53.7944186,-2.2448548
1001-1200,University of Colombo,Sri Lanka,Public,6.9000149,79.8587938
1001-1200,University of Denver,United States of America,Private not for Profit,39.6766368,-104.9614844
1001-1200,University of Deusto,Spain,,43.2630126,-2.9349852
1001-1200,University of East London,United Kingdom,Public,51.5246,-0.133746
1001-1200,University of Hradec Kralove,Czechia,Public,50.208978,15.8301435
1001-1200,University of Ibadan,Nigeria,,7.44817,3.89099
1001-1200,University of Idaho,United States of America,Public,46.7286993,-117.0073082
1001-1200,University of Ioannina,Greece,,39.618022,20.84717
1001-1200,University of Isfahan,Iran (Islamic Republic of),Public,32.6102,51.6597
1001-1200,University of Karachi,Pakistan,Public,24.9437,67.1183
1001-1200,University of Lagos,Nigeria,,6.516641,3.3853896
1001-1200,University of Louisville,United States of America,Public,38.2150536,-85.7601434
1001-1200,University of Malaysia Sabah (UMS),Malaysia,Public,42.3128812,-71.0369778
1001-1200,University of Mississippi,United States of America,Public,34.667266,-88.562436
1001-1200,"University of Missouri, Kansas City",United States of America,Public,39.0346733,-94.5785312
1001-1200,University of Murcia,Spain,Public,37.9876,-1.12718
1001-1200,University of Nairobi,Kenya,Public,-1.2920659,36.8219462
1001-1200,University of Nevada - Reno,United States of America,Public,39.545898,-119.819372
1001-1200,University of New England,Australia,Public,42.3128812,-71.0369778
1001-1200,University of New Hampshire,United States of America,Public,43.207489,-71.5448541
1001-1200,University of North Carolina at Charlotte,United States of America,Public,35.3058818,-80.7353002
1001-1200,University of Parma,Italy,Public,44.8007911,10.3258951
1001-1200,University of Regina,Canada,Public,50.4154542,-104.5878302
1001-1200,University of Rhode Island,United States of America,Public,41.4846,-71.5255
1001-1200,University of Salento,Italy,Public,40.3507,18.1635
1001-1200,University of South Bohemia,Czechia,Public,42.3128812,-71.0369778
1001-1200,University of Tabuk,Saudi Arabia,Public,28.3835079,36.5661908
1001-1200,University of Texas Arlington,United States of America,Public,42.3128812,-71.0369778
1001-1200,University of Texas at San Antonio,United States of America,Public,29.5829744,-98.6197293
1001-1200,University of the Algarve,Portugal,,42.3128812,-71.0369778
1001-1200,University of the Free State,South Africa,Public,-29.112,26.1914
1001-1200,University of Toledo,United States of America,Public,41.6624497,-83.6125305
1001-1200,University of Tulsa,United States of America,Private not for Profit,36.1504938,-95.9466344
1001-1200,University of Vermont,United States of America,Public,44.4777,-73.1977
1001-1200,University of Warmia and Mazury in Olsztyn,Poland,Public,53.7604349,20.461142
1001-1200,University of Wolverhampton,United Kingdom,Public,52.6830611,-2.4251096
1001-1200,University of Wyoming,United States of America,Public,41.3149,105.5666
1001-1200,University of Zilina,Slovakia,Public,49.2028763,18.7551572
1001-1200,Utah State University,United States of America,Public,41.74975301562,-111.80911182461
1001-1200,Van Lang University,Viet Nam,Private for Profit,10.82765602685,106.70001017092
1001-1200,Warsaw University of Life Sciences,Poland,Public,42.3128812,-71.0369778
1001-1200,West Virginia University,United States of America,Public,39.6482,-79.9682
1001-1200,William & Mary,United States of America,Public,37.2715,-76.7159
1001-1200,Xi'an Jiaotong-Liverpool University,China (Mainland),Private not for Profit,42.3128812,-71.0369778
1001-1200,Yerevan State University,Armenia,Public,40.181791453111,44.526171656613
1001-1200,Yokohama City University,Japan,Public,35.3309,139.621
1001-1200,Yokohama National University,Japan,Public,35.4742,139.593
1001-1200,Yuan Ze University,Taiwan,Private for Profit,24.9721514,121.2053963
1201-1400,ADA University,Azerbaijan,Public,40.394195833156,49.85018375437
1201-1400,"Ahmadu Bello University, Zaria",Nigeria,,11.0844,7.72401
1201-1400,Al Zaytoonah University,Jordan,Private not for Profit,24.9721514,121.2053963
1201-1400,Al-Balqa Applied University,Jordan,Public,32.0250407,35.7166658
1201-1400,Amman Arab University,Jordan,Private not for Profit,31.9539494,35.910635
1201-1400,Ashoka University,India,Private for Profit,28.946157031416,77.102340438098
1201-1400,Ataturk University,Türkiye,Public,39.9054993,41.2658236
1201-1400,Bahauddin Zakariya University,Pakistan,Public,30.2702,71.5056
1201-1400,Beijing Foreign Studies University,China (Mainland),Public,39.9558,116.309
1201-1400,Beijing University of Chinese Medicine,China (Mainland),Public,39.9711,116.428
1201-1400,Benemérita Universidad Autónoma de Puebla,Mexico,Public,24.9721514,121.2053963
1201-1400,Beni-Suef University,Egypt,Public,29.08214007094,31.101409269373
1201-1400,Birzeit university,Palestine,Private not for Profit,31.9591925,35.1820071
1201-1400,BRAC University,Bangladesh,Private not for Profit,23.7801679,90.4071914
1201-1400,British University in Egypt,Egypt,Private for Profit,30.1177753,31.605976
1201-1400,Brock University,Canada,Public,43.1184535,-79.2477832
1201-1400,California Polytechnic State University,United States of America,Public,35.3041998,-120.6631289
1201-1400,Can Tho University,Viet Nam,Public,10.0306164,105.7673942
1201-1400,Canterbury Christ Church University,United Kingdom,Public,51.279496,1.0898758
1201-1400,Chang Jung Christian University,Taiwan,Private not for Profit,22.905029,120.27265
1201-1400,China University of Political Science and Law,China (Mainland),Public,39.9669,116.352
1201-1400,Chitkara University,India,Private not for Profit,30.518422262295,76.659376042291
1201-1400,Cukurova University,Türkiye,Public,37.059684,35.355414
1201-1400,Damascus University,Syrian Arab Republic,Public,33.5138073,36.2765279
1201-1400,Delta University for Science & Technology,Egypt,Private not for Profit,24.9721514,121.2053963
1201-1400,Dokuz Eylül Üniversitesi,Türkiye,Public,24.9721514,121.2053963
1201-1400,Doshisha University,Japan,Private not for Profit,35.0293,135.761
1201-1400,Erciyes Üniversitesi,Türkiye,Public,24.9721514,121.2053963
1201-1400,Feng Chia University,Taiwan,Private for Profit,24.201882,120.609387
1201-1400,Fu Jen Catholic University,Taiwan,Private not for Profit,25.035215647884,121.43332316826
1201-1400,Galgotias University,India,Private not for Profit,28.365664588705,77.541234176904
1201-1400,German university in Cairo,Egypt,Private not for Profit,24.9721514,121.2053963
1201-1400,Gunma University,Japan,Public,36.4316,139.046
1201-1400,Hanoi University of Science and Technology,Viet Nam,Public,21.0277644,105.8341598
1201-1400,Helwan University,Egypt,Public,29.8668662,31.3152702
1201-1400,Industrial University of Ho Chi Minh City,Viet Nam,Public,24.9721514,121.2053963
1201-1400,Institut Teknologi Nasional Bandung (ITENAS Bandung),Indonesia,Private not for Profit,-6.8965453889274,107.63581686891
1201-1400,Instituto Tecnológico de Santo Domingo (INTEC),Dominican Republic,Public,18.4880037,-69.962495
1201-1400,International Christian University,Japan,Private for Profit,35.6875365,139.5295507
1201-1400,International Islamic University Islamabad (IIU),Pakistan,Public,24.9721514,121.2053963
1201-1400,Islamic Azad University,Iran (Islamic Republic of),,29.602,52.5313
1201-1400,Islamic University of Madinah,Saudi Arabia,Public,24.467197,39.6111545
1201-1400,Islamic University of Technology,Bangladesh,Public,23.948,90.379
1201-1400,Istanbul Aydin University,Türkiye,Private not for Profit,41.0124,28.9759
1201-1400,Ivan Franko National University of Lviv,Ukraine,Public,49.834214,24.031378
1201-1400,Izmir Yüksek Teknoloji Enstitüsü (IYTE),Türkiye,Public,24.9721514,121.2053963
1201-1400,Jahangirnagar University,Bangladesh,,23.885,90.269
1201-1400,Jeju National University,Republic of Korea,Public,33.4996,126.531
1201-1400,Kagoshima University,Japan,Public,31.572,130.545
1201-1400,Kazakh Ablai khan University of International Relations and World Languages,Kazakhstan,Public,24.9721514,121.2053963
1201-1400,Kharkiv National University of Radio Electronics,Ukraine,Public,50.0149846,36.228055
1201-1400,King Mongkut's Institute of Technology Ladkrabang,Thailand,Public,13.7266,100.781
1201-1400,King Mongkut's University of Technology North Bangkok,Thailand,Public,13.8194,100.515
1201-1400,Kwame Nkrumah University of Science and Technology,Ghana,,6.6666004,-1.6162709
1201-1400,Kyoto Institute of Technology,Japan,Public,35.05,135.783
1201-1400,Kyrgyz National University,Kyrgyzstan,Public,24.9721514,121.2053963
1201-1400,Kyrgyz State Technical University named after I. Razzakov,Kyrgyzstan,Public,24.9721514,121.2053963
1201-1400,Latvia University of Life Sciences and Technologies,Latvia,Public,56.6557787,23.7339003
1201-1400,Marquette University,United States of America,Private not for Profit,43.0389659,-87.9280415
1201-1400,Meiji University,Japan,Private for Profit,35.6975,139.761
1201-1400,Miami University,United States of America,Public,39.5086906,-84.7300176
1201-1400,Nagoya Institute of Technology (NIT),Japan,Public,35.156,136.924
1201-1400,National Chin-Yi University of Technology,Taiwan,Public,24.9721514,121.2053963
1201-1400,National Dong Hwa University,Taiwan,Public,24.0102752,121.6180179
1201-1400,National Research University Moscow Power Engineering Institute (MPEI),Russian Federation,Public,55.7554695,37.7087429
1201-1400,National Taiwan Ocean University,Taiwan,Public,25.1505447,121.7757756
1201-1400,National University of Kyiv-Mohyla Academy (NaUKMA),Ukraine,Public,50.4501,30.5234
1201-1400,New Mexico State University,United States of America,,32.283,-106.749
1201-1400,Novosibirsk State Technical University,Russian Federation,Public,54.9863569,82.907257
1201-1400,Odessa I.I.Mechnikov National University,Ukraine,Public,,
1201-1400,"Osmania University, Hyderabad",India,Public,24.9721514,121.2053963
1201-1400,Ozyegin University,Türkiye,Private not for Profit,41.029259581296,29.259874314294
1201-1400,Palestine Technical University - Kadoorie,Palestine,Public,32.3136442,35.0218743
1201-1400,Pondicherry University,India,Public,11.6347648,92.7420055
